Event,Age_at_time_of_Swim,Time,Formatted_Time
200 BR,9,189.54000000000002,3:09.54
200 BR,10,180.71428571428572,3:00.71
200 BR,11,165.05581395348835,2:45.06
200 BR,12,153.1223880597015,2:33.12
200 BR,13,147.2875,2:27.29
200 BR,14,144.86176470588234,2:24.86
200 BR,15,141.38513513513513,2:21.39
200 BR,16,138.11525423728813,2:18.12
200 BR,17,135.79333333333332,2:15.79
200 BR,18,133.51290322580647,2:13.51
200 BR,19,132.87894736842105,2:12.88
200 BR,20,130.98739495798318,2:10.99
200 BR,21,129.36623376623376,2:09.37
200 BR,22,131.118,2:11.12
200 BR,23,134.35999999999999,2:14.36
200 FL,9,157.4,2:37.40
200 FL,10,158.5,2:38.50
200 FL,11,149.11379310344827,2:29.11
200 FL,12,138.12549019607843,2:18.13
200 FL,13,131.58636363636364,2:11.59
200 FL,14,125.22835820895521,2:05.23
200 FL,15,121.65377358490565,2:01.65
200 FL,16,120.22242990654205,2:00.22
200 FL,17,118.89775280898876,1:58.90
200 FL,18,117.8119658119658,1:57.81
200 FL,19,116.1842857142857,1:56.18
200 FL,20,115.9496062992126,1:55.95
200 FL,21,115.32424242424243,1:55.32
200 FL,22,114.68041237113403,1:54.68
200 FL,23,113.78461538461539,1:53.78
200 FL,24,115.15,1:55.15
200 FR,8,188.4,3:08.40
200 FR,9,143.2111111111111,2:23.21
200 FR,10,135.55,2:15.55
200 FR,11,130.78125,2:10.78
200 FR,12,118.5274074074074,1:58.53
200 FR,13,114.27727272727272,1:54.28
200 FR,14,112.49583333333334,1:52.50
200 FR,15,109.84923076923077,1:49.85
200 FR,16,108.29736842105264,1:48.30
200 FR,17,107.52208333333333,1:47.52
200 FR,18,107.44642857142857,1:47.45
200 FR,19,106.77285714285715,1:46.77
200 FR,20,106.65608695652175,1:46.66
200 FR,21,105.71916666666668,1:45.72
200 FR,22,105.92545454545456,1:45.93
200 IM,6,217.4,3:37.40
200 IM,7,206.55,3:26.55
200 IM,8,174.57272727272726,2:54.57
200 IM,9,168.17931034482757,2:48.18
200 IM,10,154.60238095238097,2:34.60
200 IM,11,145.18727272727273,2:25.19
200 IM,12,135.25507246376813,2:15.26
200 IM,13,129.85795454545453,2:09.86
200 IM,14,125.82941176470588,2:05.83
200 IM,15,121.89080459770115,2:01.89
200 IM,16,120.9125,2:00.91
200 IM,17,120.6038961038961,2:00.60
200 IM,18,119.22716049382716,1:59.23
200 IM,19,116.90704225352113,1:56.91
200 IM,20,117.47058823529412,1:57.47
200 IM,21,117.03571428571429,1:57.04
200 IM,22,116.37272727272726,1:56.37
200 IM,23,114.575,1:54.58
400 IM,10,308.4,5:08.40
400 IM,11,302.1058823529412,5:02.11
400 IM,12,281.25,4:41.25
400 IM,13,276.33076923076925,4:36.33
400 IM,14,268.84,4:28.84
400 IM,15,261.9451612903226,4:21.95
400 IM,16,258.55121951219513,4:18.55
400 IM,17,257.1333333333333,4:17.13
400 IM,18,251.9673913043478,4:11.97
400 IM,19,248.5426229508197,4:08.54
400 IM,20,247.6,4:07.60
400 IM,21,246.06756756756758,4:06.07
400 IM,22,245.65714285714287,4:05.66
50 FR,5,51.965,0:51.97
50 FR,6,45.00111111111111,0:45.00
50 FR,7,37.84125,0:37.84
50 FR,8,34.33708333333333,0:34.34
50 FR,9,32.023714285714284,0:32.02
50 FR,10,29.939636363636364,0:29.94
50 FR,11,27.58878787878788,0:27.59
50 FR,12,26.260666666666665,0:26.26
50 FR,13,25.50246575342466,0:25.50
50 FR,14,24.4604,0:24.46
50 FR,15,23.846463414634147,0:23.85
50 FR,16,23.65092592592593,0:23.65
50 FR,17,23.621428571428574,0:23.62
50 FR,18,23.12561403508772,0:23.13
50 FR,19,22.720309278350513,0:22.72
50 FR,20,22.696304347826086,0:22.70
50 FR,21,22.443762376237625,0:22.44
50 FR,22,22.09793103448276,0:22.10
50 FR,23,22.2425,0:22.24
500 FR,8,481.29999999999995,8:01.30
500 FR,9,386.0615384615385,6:26.06
500 FR,10,354.20500000000004,5:54.21
500 FR,11,333.10930232558144,5:33.11
500 FR,12,317.07234042553193,5:17.07
500 FR,13,306.57115384615383,5:06.57
500 FR,14,297.79795918367347,4:57.80
500 FR,15,293.93333333333334,4:53.93
500 FR,16,291.4575,4:51.46
500 FR,17,289.652,4:49.65
500 FR,18,286.2078431372549,4:46.21
500 FR,19,287.1375,4:47.14
500 FR,20,285.06216216216217,4:45.06
500 FR,21,287.3842105263158,4:47.38
500 FR,22,282.73125,4:42.73
500 FR,23,283.3666666666667,4:43.37
